ClientID,Product,Longitude,Latitude
1,12,-74.11665815949002,4.585219615328849
2,12,-74.09402212080303,4.538190865400343
3,9,-74.13876726811121,4.664086530518072
4,12,-74.03458280137461,4.7330740665555
5,12,-74.15613157382045,4.684773751302304
6,12,-74.0852091195774,4.5692165448131945
7,12,-74.06470768583738,4.723527744298546
8,12,-74.12197062676852,4.751280112292664
9,12,-74.12528457849655,4.544611993632011
10,12,-74.1254329759305,4.595596695283716
11,12,-74.0435651390896,4.6696470000024455
12,12,-74.03647271455907,4.701608179930849
13,12,-74.04701104717165,4.798311638616079
14,12,-74.06065579807984,4.659001162063419
15,12,-74.02302551741383,4.699645726040812
16,12,-74.04571846275843,4.699119853105333
17,10,-74.15344945344371,4.639093004061201
18,12,-74.13521508897666,4.595322524530439
19,12,-74.18525848230523,4.623575730110324
20,12,-74.13420468923854,4.588996335090302
21,12,-74.11712668281382,4.6013916834656285
22,12,-74.17256176200782,4.6143532159505245
23,12,-74.08812096183223,4.601808353167407
24,12,-74.12355414454146,4.66951713145371
25,12,-74.09060364788147,4.543078840650238
26,12,-74.09844826546863,4.573791467064299
27,12,-74.12151360287666,4.560977596007328
28,12,-74.13546567831179,4.633237478572088
29,12,-74.20020638127643,4.621009558936612
30,12,-74.11401815215768,4.635170764434185
31,12,-74.10111627718813,4.620955305551461
32,12,-74.01363005658666,4.730041120496536
33,12,-74.07184830453919,4.6892805844098735
34,12,-74.1987412460988,4.6382290872441
35,12,-74.0957917464546,4.729382850815179
36,12,-74.06501109775219,4.673910560759714
37,12,-74.14472784755772,4.56738084300747
38,12,-74.14360688690662,4.665468925013655
39,12,-74.09630463770387,4.747994956856197
40,12,-74.13274597961228,4.6707350104093415
41,12,-74.14272586737096,4.567866393374637
42,12,-74.09270579985447,4.709076997245962
43,12,-74.1661800309205,4.64693543994279
44,12,-74.16228381122208,4.551786739961474
45,12,-74.09515733640598,4.512080203274927
46,12,-74.10656483766317,4.523139710193529
47,12,-74.05635932817133,4.703525788047454
48,12,-74.18178209951223,4.616464147955529
49,12,-74.02822386641046,4.724867808506764
50,8,-74.03938748705848,4.706245517977333
51,12,-74.05928503269155,4.670613707939135
52,12,-74.13194993894939,4.678821201079643
53,12,-74.16871230823368,4.600060941196558
54,12,-74.12647642386139,4.678107303312421
55,12,-74.09627901219055,4.770540206965418
56,12,-74.06300168179483,4.751897037088409
57,12,-74.07208667805895,4.671399486967083
58,12,-74.04108156713701,4.746552939169878
59,12,-74.13179102329651,4.613967830077662
60,12,-74.11345149941113,4.595100207065474
61,12,-74.06883261761244,4.619163588197764
62,12,-74.17099744126638,4.582649341089685
63,12,-74.07097387291019,4.671731552377898
64,12,-74.12299917587164,4.710518382795163
65,12,-74.09084678939016,4.704230219225675
66,12,-74.08862720750967,4.571315385130528
67,12,-74.14463898967365,4.667004185222264
68,12,-74.18095183444052,4.619433193073086
69,12,-74.02399182856219,4.756397836983366
70,12,-74.0579063426806,4.647047728707429
71,12,-74.14492681938496,4.545628589415268
72,12,-74.14554012048838,4.6780376422841226
73,12,-74.16058683671565,4.6168140713340975
74,12,-74.1153838782456,4.613242814860848
75,12,-74.1187944758876,4.647479612974891
76,9,-74.05069877198554,4.648673498666689
77,12,-74.1492729572894,4.5385506410186975
78,12,-74.14790121246128,4.689190773406851
79,12,-74.20073960932304,4.616803934568278
80,12,-74.09831478635104,4.740519882356478
81,12,-74.09896642450828,4.574081034612315
82,12,-74.08443287646412,4.651315573619371
83,12,-74.12401500469795,4.575823929163168
84,12,-74.07390489735734,4.62805650532766
85,12,-74.17036720829859,4.585290555287129
86,12,-74.0533147447689,4.756256307003942
87,12,-74.2062993056933,4.609969496505028
88,12,-74.09126384789178,4.652379129629814
89,12,-74.11683363432525,4.728281441115427
90,12,-74.06336909645199,4.663988800761842
